block_depths,filters_start,dense_units,dropout_rate,val_accuracy,val_loss,recall,f1_score,model_path,train_time_sec
"(2, 2, 2)",8,256,0.5,0.9219406843185424,0.1996970772743225,0.8743758065421086,0.902844562887434,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(2, 2, 2)_f8_d256_dr50.h5",1855.27124619484
"(2, 2, 2)",8,512,0.5,0.9264174699783324,0.1901341527700424,0.8861583347360152,0.9077533191562732,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(2, 2, 2)_f8_d512_dr50.h5",3104.547380447388
"(2, 2, 2)",8,1024,0.5,0.8302465677261353,0.4489958584308624,0.8772933849520282,0.8622477114811955,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(2, 2, 2)_f8_d1024_dr50.h5",1036.5089783668518
"(2, 2, 2)",16,256,0.5,0.8988978266716003,0.2749619781970978,0.9328395892947317,0.9190713101160862,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(2, 2, 2)_f16_d256_dr50.h5",1763.405143737793
"(2, 2, 2)",16,512,0.5,0.9312350749969482,0.1997621953487396,0.9087695674128936,0.921829202356222,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(2, 2, 2)_f16_d512_dr50.h5",2130.1539430618286
"(2, 2, 2)",16,1024,0.5,0.9397341012954712,0.1790418028831482,0.9180833754137911,0.9266621361422585,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(2, 2, 2)_f16_d1024_dr50.h5",2356.129402399063
"(2, 2, 2)",32,256,0.5,0.9157368540763856,0.2362897396087646,0.8924984570498794,0.91074086797206,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(2, 2, 2)_f32_d256_dr50.h5",1276.6067986488342
"(2, 2, 2)",32,512,0.5,0.94102942943573,0.2058942317962646,0.914211973292936,0.9323643854428932,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(2, 2, 2)_f32_d512_dr50.h5",2137.1914451122284
"(2, 2, 2)",32,1024,0.5,0.9449835419654846,0.2376573830842971,0.8779666722773943,0.9057652234313498,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(2, 2, 2)_f32_d1024_dr50.h5",2415.044159889221
"(2, 3, 3)",8,256,0.5,0.9230769276618958,0.1947500854730606,0.9045615216293552,0.9040796298892472,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(2, 3, 3)_f8_d256_dr50.h5",2012.3466351032257
